Filename,Full_Path,PC1,PC2,PC3
04_En Bateau.mp3,data/userdata/04_En Bateau.mp3,7.4478902954805095,-4.702563924335431,-3.990472828864527
11_Tesselation.mp3,data/userdata/11_Tesselation.mp3,-2.0859731777614066,3.2564446079918827,-1.2699600132195352
12_Can I Kick It.mp3,data/userdata/12_Can I Kick It.mp3,0.11928019035547077,1.0874950921637234,-3.473158250116816
08_Bossa Antigua.mp3,data/userdata/08_Bossa Antigua.mp3,2.1960356363856306,-2.391010719311998,-2.861006266867724
06_Yardbird Suite.mp3,data/userdata/06_Yardbird Suite.mp3,-0.23030083201307855,1.5964998149992236,-1.2651355133508269
06_Li'l Darlin'.mp3,data/userdata/06_Li'l Darlin'.mp3,8.687149148690565,-0.44914600069977767,1.1009485724367776
04_Prelude in E Minor.mp3,data/userdata/04_Prelude in E Minor.mp3,8.01587853560062,-1.5790418143445764,2.5126386514992682
01_Could You Be Loved.mp3,data/userdata/01_Could You Be Loved.mp3,-0.4636747051031802,1.9642732292345733,-0.48439731049756596
11_The Less I Know The Better.mp3,data/userdata/11_The Less I Know The Better.mp3,-1.733313732060473,1.4476741365920387,1.414103588365445
10_Like A G6.mp3,data/userdata/10_Like A G6.mp3,-1.3297737760988486,2.64736123316705,2.3501682981049234
02_Highway Tune.mp3,data/userdata/02_Highway Tune.mp3,-2.7131979055977378,-2.503643356204747,0.7144489027488634
12_Runnin'.mp3,data/userdata/12_Runnin'.mp3,-0.3146308495132661,2.6649647391670315,0.7078426179128466
11_Something New.mp3,data/userdata/11_Something New.mp3,-0.46908080362777815,0.28772735121316734,-1.0963663146455203
05_Loco.mp3,data/userdata/05_Loco.mp3,-1.0524303739635656,-1.976188306221137,-1.307523246327912
06_Stompin' At The Savoy.mp3,data/userdata/06_Stompin' At The Savoy.mp3,0.9663367462823844,2.2991735772865773,-4.939589151990547
03_White Rabbit.mp3,data/userdata/03_White Rabbit.mp3,-1.4296532709259866,-0.9335617732965233,-3.2376485514630775
05_Blind.mp3,data/userdata/05_Blind.mp3,-1.825906196308881,-0.536070697735818,-3.7620497510210926
10_Thunder.mp3,data/userdata/10_Thunder.mp3,0.6652423423970422,4.0669254665297485,2.8384704401537424
03_Tomorrow Never Knows.mp3,data/userdata/03_Tomorrow Never Knows.mp3,-3.597443984996344,0.8804643776649177,-0.7983817139622713
06_Shiny Stockings.mp3,data/userdata/06_Shiny Stockings.mp3,4.182846100813496,-0.18568110829939474,-0.8471194589443175
01_Red Red Wine.mp3,data/userdata/01_Red Red Wine.mp3,-1.3452321668045253,5.207230614125992,-0.32966840783042495
01_Pressure Drop.mp3,data/userdata/01_Pressure Drop.mp3,-2.732532316782249,3.6097515154387088,-4.082632936210055
08_Take Five.mp3,data/userdata/08_Take Five.mp3,-1.5388097418472722,-1.5337866140533956,-5.215433390431853
10_Monster.mp3,data/userdata/10_Monster.mp3,-0.5498949861985116,2.076388987318296,5.550606419388849
08_Autumn Nocturne.mp3,data/userdata/08_Autumn Nocturne.mp3,8.369512800850472,-1.4370219046205817,2.7126522725386795
12_Hey Young World.mp3,data/userdata/12_Hey Young World.mp3,-1.9656338452201954,4.454332935373569,2.371781586026579
04_Notturno (Op. 54 No. 4).mp3,data/userdata/04_Notturno (Op. 54 No. 4).mp3,9.419180018810978,-3.432661596230911,1.3892649523536114
07_All I Wanted.mp3,data/userdata/07_All I Wanted.mp3,-0.6202462516955248,-4.639687184831484,-2.419202055365621
09_SOS.mp3,data/userdata/09_SOS.mp3,-1.8074949212225444,4.387216002272509,3.671485358900285
12_T.R.O.Y..mp3,data/userdata/12_T.R.O.Y..mp3,-3.804494993980563,-0.5848309537053805,-2.100587701683036
10_I Don't Know.mp3,data/userdata/10_I Don't Know.mp3,0.6969059221808345,3.717893623443973,-0.6741882906793496
02_Still Of The Night.mp3,data/userdata/02_Still Of The Night.mp3,-5.917425930939459,-8.379963295831642,2.3795499962360642
06_Corner Pocket.mp3,data/userdata/06_Corner Pocket.mp3,1.0497261605119876,1.627795145808847,-0.5690965020614774
12_The World Is Yours.mp3,data/userdata/12_The World Is Yours.mp3,-1.5377755724769053,2.8395580555190127,2.5139108631104126
07_Emergency.mp3,data/userdata/07_Emergency.mp3,-5.000461672584889,-3.2422849679575085,0.7776037189466399
11_Homage.mp3,data/userdata/11_Homage.mp3,0.8058399594254309,1.2661702960394126,-0.7945495477887233
07_Rot.mp3,data/userdata/07_Rot.mp3,-0.6997032937787272,0.34048380378657583,2.3219430622640207
01_Cherry Oh Baby.mp3,data/userdata/01_Cherry Oh Baby.mp3,-1.1986382383247898,3.710107994332508,-3.4148010158041218
08_A Taste of Honey.mp3,data/userdata/08_A Taste of Honey.mp3,2.3449512141620525,-2.4581299378385553,-4.984390546873958
10_Danza Kuduro (Tiësto Remix).mp3,data/userdata/10_Danza Kuduro (Tiësto Remix).mp3,-1.4758014101144952,2.614146099077829,5.1382297032294755
11_Chamber of Reflection.mp3,data/userdata/11_Chamber of Reflection.mp3,-1.2038860823652,1.1252203622171195,-4.451814956078498
03_Watcher Of The Skies.mp3,data/userdata/03_Watcher Of The Skies.mp3,0.6259309844295744,-5.010455270147279,2.6687101567097353
07_I'm So Sick.mp3,data/userdata/07_I'm So Sick.mp3,-4.159089547786589,-3.3414554687347975,3.8015680496816975
